service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
U_OBRA_007,1,1,1,1,1,0,0,20230611,20250531
S_OBRA_007,0,0,0,0,0,1,0,20230615,20250531
U_REG,1,1,1,1,1,0,0,20221231,20241231
D_REG,0,0,0,0,0,0,1,20221231,20241231
D_OBRA_007,0,0,0,0,0,0,1,20230615,20250531
S_REG,0,0,0,0,0,1,0,20221231,20241231
D_OBRA_009,0,0,0,0,0,0,1,20230623,20240531
S_OBRA_009,0,0,0,0,0,1,0,20230623,20240531
U_OBRA_009,1,1,1,1,1,0,0,20230623,20240531
